f_acidente;d_condicaometereologica
333173;Nublado
333174;Céu Claro
333175;Céu Claro
333176;Céu Claro
333177;Chuva
333178;Nublado
333179;Céu Claro
333180;Céu Claro
333181;Céu Claro
333182;Céu Claro
333183;Céu Claro
333184;Céu Claro
333185;Céu Claro
333186;Céu Claro
333189;Céu Claro
333190;Sol
333191;Nublado
333193;Céu Claro
333194;Céu Claro
333197;Chuva
333198;Céu Claro
333199;Nublado
333200;Céu Claro
333201;Céu Claro
333203;Céu Claro
333204;Céu Claro
333205;Céu Claro
333206;Nublado
333207;Chuva
333208;Céu Claro
333209;Céu Claro
333210;Céu Claro
333211;Chuva
333213;Céu Claro
333214;Chuva
333215;Céu Claro
333217;Nublado
333218;Céu Claro
333220;Céu Claro
333221;Nublado
333222;Céu Claro
333223;Céu Claro
333224;Céu Claro
333225;Chuva
333226;Garoa/Chuvisco
333227;Céu Claro
333228;Céu Claro
333229;Céu Claro
333230;Céu Claro
333231;Céu Claro
333232;Céu Claro
333233;Céu Claro
333235;Nublado
333236;Céu Claro
333237;Nublado
333238;Nublado
333239;Céu Claro
333240;Céu Claro
333241;Céu Claro
333242;Céu Claro
333243;Ignorado
333244;Céu Claro
333245;Céu Claro
333246;Nublado
333247;Nublado
333249;Céu Claro
333250;Céu Claro
333251;Céu Claro
333252;Nublado
333253;Nublado
333254;Céu Claro
333255;Céu Claro
333256;Nublado
333257;Céu Claro
333258;Céu Claro
333259;Céu Claro
333260;Garoa/Chuvisco
333261;Céu Claro
333262;Nublado
333263;Garoa/Chuvisco
333264;Céu Claro
333265;Nublado
333266;Céu Claro
333268;Ignorado
333269;Céu Claro
333270;Nublado
333271;Sol
333272;Céu Claro
333275;Garoa/Chuvisco
333276;Sol
333277;Céu Claro
333280;Nublado
333281;Sol
333282;Chuva
333283;Céu Claro
333284;Céu Claro
333285;Chuva
333286;Céu Claro
333287;Céu Claro
333288;Céu Claro
333289;Céu Claro
333290;Nublado
333291;Céu Claro
333292;Céu Claro
333295;Céu Claro
333296;Céu Claro
333298;Céu Claro
333299;Céu Claro
333300;Céu Claro
333301;Céu Claro
333302;Nublado
333303;Chuva
333304;Sol
333305;Nublado
333306;Nublado
333307;Sol
333308;Céu Claro
333309;Céu Claro
333310;Céu Claro
333311;Céu Claro
333312;Nublado
333313;Céu Claro
333315;Sol
333316;Sol
333317;Céu Claro
333318;Nublado
333319;Céu Claro
333320;Céu Claro
333321;Céu Claro
333322;Céu Claro
333323;Céu Claro
333325;Céu Claro
333327;Céu Claro
333328;Céu Claro
333329;Céu Claro
333330;Nublado
333331;Céu Claro
333332;Céu Claro
333333;Chuva
333334;Chuva
333335;Céu Claro
333336;Chuva
333337;Sol
333339;Sol
333340;Chuva
333341;Céu Claro
333342;Céu Claro
333343;Céu Claro
333344;Céu Claro
333345;Nublado
333346;Céu Claro
333347;Sol
333348;Nublado
333349;Nublado
333350;Nublado
333351;Céu Claro
333352;Chuva
333353;Nublado
333354;Sol
333355;Chuva
333356;Céu Claro
333358;Nublado
333359;Nublado
333360;Chuva
333361;Chuva
333362;Céu Claro
333363;Céu Claro
333364;Chuva
333365;Céu Claro
333366;Chuva
333368;Chuva
333371;Céu Claro
333372;Nublado
333373;Chuva
333374;Chuva
333375;Nublado
333376;Chuva
333377;Chuva
333378;Sol
333379;Chuva
333380;Nublado
333381;Chuva
333382;Nublado
333383;Céu Claro
333385;Chuva
333386;Céu Claro
333388;Céu Claro
333389;Céu Claro
333390;Nublado
333391;Nublado
333393;Céu Claro
333394;Chuva
333395;Céu Claro
333396;Céu Claro
333397;Nublado
333398;Céu Claro
333400;Céu Claro
333402;Chuva
333403;Nublado
333404;Chuva
333406;Céu Claro
333407;Chuva
333408;Nublado
333409;Chuva
333411;Céu Claro
333413;Nublado
333415;Céu Claro
333416;Céu Claro
333417;Chuva
333418;Céu Claro
333419;Céu Claro
333420;Chuva
333422;Céu Claro
333424;Céu Claro
333425;Ignorado
333426;Garoa/Chuvisco
333427;Céu Claro
333428;Céu Claro
333429;Céu Claro
333431;Ignorado
333432;Céu Claro
333433;Chuva
333434;Céu Claro
333435;Céu Claro
333437;Chuva
333438;Nublado
333440;Nublado
333442;Céu Claro
333443;Céu Claro
333444;Céu Claro
333446;Nublado
333447;Nublado
333448;Céu Claro
333450;Nublado
333451;Céu Claro
333452;Nublado
333453;Céu Claro
333454;Nublado
333455;Nublado
333456;Céu Claro
333457;Céu Claro
333458;Nublado
333459;Chuva
333460;Céu Claro
333461;Céu Claro
333462;Chuva
333463;Nublado
333464;Nublado
333465;Chuva
333467;Nublado
333469;Céu Claro
333470;Céu Claro
333471;Céu Claro
333472;Nublado
333473;Vento
333474;Céu Claro
333475;Céu Claro
333476;Nublado
333477;Ignorado
333478;Céu Claro
333479;Chuva
333480;Céu Claro
333481;Céu Claro
333483;Céu Claro
333484;Nublado
333486;Nublado
333487;Céu Claro
333488;Chuva
333489;Céu Claro
333490;Céu Claro
333491;Chuva
333492;Céu Claro
333493;Chuva
333494;Céu Claro
333495;Garoa/Chuvisco
333496;Nublado
333497;Nublado
333498;Céu Claro
333499;Céu Claro
333501;Nublado
333502;Céu Claro
333503;Céu Claro
333505;Nublado
333506;Céu Claro
333507;Nublado
333508;Céu Claro
333509;Céu Claro
333510;Céu Claro
333511;Nublado
333512;Chuva
333513;Nublado
333514;Céu Claro
333515;Céu Claro
333516;Céu Claro
333517;Céu Claro
333518;Ignorado
333520;Céu Claro
333521;Nublado
333522;Chuva
333523;Céu Claro
333524;Céu Claro
333525;Céu Claro
333526;Céu Claro
333527;Céu Claro
333528;Céu Claro
333529;Céu Claro
333530;Céu Claro
333531;Sol
333532;Céu Claro
333533;Céu Claro
333534;Nublado
333535;Céu Claro
333536;Sol
333537;Céu Claro
333538;Nublado
333539;Nublado
333540;Céu Claro
333541;Nublado
333542;Céu Claro
333543;Garoa/Chuvisco
