f_acidente;d_classificacaoacidente
332592;Com Vítimas Feridas
332593;Com Vítimas Feridas
332595;Com Vítimas Feridas
332597;Com Vítimas Feridas
332598;Com Vítimas Feridas
332601;Com Vítimas Feridas
332602;Com Vítimas Feridas
332604;Com Vítimas Feridas
332605;Com Vítimas Feridas
332606;Sem Vítimas
332607;Sem Vítimas
332608;Com Vítimas Feridas
332609;Com Vítimas Feridas
332610;Com Vítimas Feridas
332612;Com Vítimas Feridas
332613;Com Vítimas Feridas
332615;Com Vítimas Feridas
332616;Com Vítimas Feridas
332617;Com Vítimas Feridas
332618;Sem Vítimas
332620;Com Vítimas Feridas
332621;Com Vítimas Feridas
332623;Com Vítimas Fatais
332624;Com Vítimas Feridas
332627;Com Vítimas Feridas
332629;Com Vítimas Feridas
332630;Com Vítimas Feridas
332631;Com Vítimas Feridas
332632;Com Vítimas Feridas
332634;Com Vítimas Feridas
332635;Com Vítimas Fatais
332636;Com Vítimas Feridas
332637;Com Vítimas Feridas
332638;Com Vítimas Feridas
332639;Com Vítimas Feridas
332640;Com Vítimas Feridas
332641;Com Vítimas Feridas
332642;Sem Vítimas
332643;Com Vítimas Feridas
332644;Com Vítimas Feridas
332645;Com Vítimas Feridas
332646;Com Vítimas Feridas
332647;Com Vítimas Feridas
332648;Com Vítimas Feridas
332649;Com Vítimas Feridas
332651;Sem Vítimas
332652;Com Vítimas Feridas
332653;Com Vítimas Feridas
332654;Com Vítimas Feridas
332655;Com Vítimas Feridas
332657;Com Vítimas Feridas
332658;Com Vítimas Feridas
332659;Com Vítimas Feridas
332661;Com Vítimas Feridas
332662;Com Vítimas Feridas
332663;Com Vítimas Feridas
332664;Com Vítimas Feridas
332665;Sem Vítimas
332666;Com Vítimas Feridas
332668;Com Vítimas Feridas
332670;Com Vítimas Fatais
332671;Com Vítimas Feridas
332672;Sem Vítimas
332673;Com Vítimas Feridas
332674;Com Vítimas Feridas
332676;Com Vítimas Feridas
332677;Sem Vítimas
332678;Sem Vítimas
332679;Com Vítimas Feridas
332680;Com Vítimas Feridas
332682;Com Vítimas Feridas
332683;Com Vítimas Feridas
332684;Sem Vítimas
332685;Sem Vítimas
332686;Com Vítimas Feridas
332687;Com Vítimas Feridas
332688;Sem Vítimas
332689;Com Vítimas Feridas
332690;Sem Vítimas
332691;Com Vítimas Feridas
332692;Com Vítimas Feridas
332693;Com Vítimas Fatais
332694;Com Vítimas Feridas
332695;Sem Vítimas
332696;Com Vítimas Feridas
332697;Com Vítimas Feridas
332699;Com Vítimas Feridas
332700;Sem Vítimas
332701;Sem Vítimas
332703;Com Vítimas Feridas
332704;Com Vítimas Feridas
332705;Com Vítimas Feridas
332706;Com Vítimas Feridas
332707;Sem Vítimas
332708;Sem Vítimas
332710;Com Vítimas Feridas
332711;Com Vítimas Feridas
332716;Com Vítimas Feridas
332717;Com Vítimas Feridas
332718;Com Vítimas Feridas
332719;Com Vítimas Feridas
332720;Com Vítimas Feridas
332721;Com Vítimas Feridas
332722;Com Vítimas Feridas
332723;Com Vítimas Feridas
332724;Com Vítimas Feridas
332725;Com Vítimas Feridas
332726;Com Vítimas Feridas
332727;Com Vítimas Feridas
332728;Sem Vítimas
332729;Com Vítimas Feridas
332730;Com Vítimas Feridas
332732;Com Vítimas Feridas
332734;Com Vítimas Fatais
332735;Com Vítimas Feridas
332737;Com Vítimas Feridas
332738;Com Vítimas Feridas
332739;Com Vítimas Feridas
332740;Com Vítimas Feridas
332741;Sem Vítimas
332742;Com Vítimas Feridas
332744;Com Vítimas Feridas
332746;Com Vítimas Feridas
332747;Com Vítimas Feridas
332748;Com Vítimas Feridas
332749;Com Vítimas Feridas
332750;Com Vítimas Feridas
332751;Com Vítimas Feridas
332752;Sem Vítimas
332754;Com Vítimas Feridas
332755;Sem Vítimas
332756;Com Vítimas Feridas
332758;Com Vítimas Feridas
332759;Com Vítimas Feridas
332760;Com Vítimas Feridas
332762;Com Vítimas Feridas
332763;Com Vítimas Feridas
332765;Com Vítimas Feridas
332766;Com Vítimas Feridas
332768;Com Vítimas Feridas
332769;Com Vítimas Feridas
332770;Com Vítimas Feridas
332771;Com Vítimas Feridas
332772;Com Vítimas Feridas
332773;Com Vítimas Feridas
332774;Com Vítimas Feridas
332775;Com Vítimas Feridas
332776;Com Vítimas Feridas
332777;Com Vítimas Feridas
332778;Sem Vítimas
332779;Com Vítimas Feridas
332780;Com Vítimas Feridas
332782;Com Vítimas Fatais
332783;Com Vítimas Feridas
332785;Com Vítimas Feridas
332786;Sem Vítimas
332787;Com Vítimas Feridas
332788;Com Vítimas Feridas
332789;Com Vítimas Fatais
332790;Sem Vítimas
332791;Com Vítimas Feridas
332792;Com Vítimas Feridas
332793;Sem Vítimas
332796;Com Vítimas Feridas
332797;Com Vítimas Feridas
332798;Com Vítimas Feridas
332800;Com Vítimas Fatais
332801;Com Vítimas Feridas
332802;Com Vítimas Feridas
332803;Com Vítimas Feridas
332804;Com Vítimas Feridas
332805;Sem Vítimas
332806;Com Vítimas Feridas
332807;Com Vítimas Feridas
332808;Com Vítimas Feridas
332810;Com Vítimas Feridas
332811;Com Vítimas Fatais
332812;Com Vítimas Feridas
332813;Com Vítimas Feridas
332815;Sem Vítimas
332816;Com Vítimas Feridas
332818;Com Vítimas Feridas
332819;Com Vítimas Feridas
332820;Com Vítimas Feridas
332821;Com Vítimas Feridas
332823;Sem Vítimas
332824;Sem Vítimas
332825;Com Vítimas Feridas
332826;Com Vítimas Feridas
332827;Com Vítimas Feridas
332828;Sem Vítimas
332829;Sem Vítimas
332830;Sem Vítimas
332831;Com Vítimas Feridas
332832;Com Vítimas Feridas
332833;Com Vítimas Feridas
332834;Com Vítimas Feridas
332836;Com Vítimas Fatais
332838;Com Vítimas Feridas
332839;Com Vítimas Fatais
332840;Com Vítimas Feridas
332841;Sem Vítimas
332842;Com Vítimas Feridas
332843;Com Vítimas Feridas
332844;Com Vítimas Feridas
332846;Com Vítimas Fatais
