f_acidente;d_dataacidente
333131;08/01/2021
333132;08/01/2021
333133;08/01/2021
333134;08/01/2021
333136;08/01/2021
333138;08/01/2021
333139;08/01/2021
333140;08/01/2021
333144;08/01/2021
333145;08/01/2021
333146;08/01/2021
333147;08/01/2021
333148;08/01/2021
333150;08/01/2021
333151;08/01/2021
333152;08/01/2021
333153;08/01/2021
333154;07/01/2021
333155;08/01/2021
333156;08/01/2021
333157;08/01/2021
333158;08/01/2021
333159;08/01/2021
333160;08/01/2021
333161;08/01/2021
333162;08/01/2021
333163;08/01/2021
333165;08/01/2021
333166;08/01/2021
333167;08/01/2021
333168;08/01/2021
333169;08/01/2021
333170;04/01/2021
333171;08/01/2021
333172;08/01/2021
333173;03/01/2021
333174;08/01/2021
333175;08/01/2021
333176;08/01/2021
333177;08/01/2021
333178;08/01/2021
333179;08/01/2021
333180;08/01/2021
333181;08/01/2021
333182;08/01/2021
333183;08/01/2021
333184;08/01/2021
333185;08/01/2021
333186;08/01/2021
333189;08/01/2021
333190;08/01/2021
333191;08/01/2021
333193;08/01/2021
333194;08/01/2021
333197;08/01/2021
333198;08/01/2021
333199;08/01/2021
333200;08/01/2021
333201;08/01/2021
333203;08/01/2021
333204;08/01/2021
333205;08/01/2021
333206;08/01/2021
333207;08/01/2021
333208;08/01/2021
333209;08/01/2021
333210;08/01/2021
333211;08/01/2021
333213;08/01/2021
333214;08/01/2021
333215;08/01/2021
333217;08/01/2021
333218;08/01/2021
333220;08/01/2021
333221;09/01/2021
333222;08/01/2021
333223;08/01/2021
333224;08/01/2021
333225;09/01/2021
333226;08/01/2021
333227;08/01/2021
333228;08/01/2021
333229;08/01/2021
333230;08/01/2021
333231;09/01/2021
333232;09/01/2021
333233;09/01/2021
333235;09/01/2021
333236;09/01/2021
333237;09/01/2021
333238;09/01/2021
333239;09/01/2021
333240;08/01/2021
333241;09/01/2021
333242;09/01/2021
333243;09/01/2021
333244;08/01/2021
333245;09/01/2021
333246;09/01/2021
333247;09/01/2021
333249;09/01/2021
333250;09/01/2021
333251;09/01/2021
333252;09/01/2021
333253;09/01/2021
333254;09/01/2021
333255;09/01/2021
333256;09/01/2021
333257;09/01/2021
333258;09/01/2021
333259;09/01/2021
333260;09/01/2021
333261;08/01/2021
333262;09/01/2021
333263;09/01/2021
333264;09/01/2021
333265;09/01/2021
333266;09/01/2021
333268;09/01/2021
333269;09/01/2021
333270;09/01/2021
333271;09/01/2021
333272;09/01/2021
333275;05/01/2021
333276;09/01/2021
333277;09/01/2021
333280;09/01/2021
333281;09/01/2021
333282;09/01/2021
333283;09/01/2021
333284;09/01/2021
333285;09/01/2021
333286;09/01/2021
333287;09/01/2021
333288;09/01/2021
333289;09/01/2021
333290;09/01/2021
333291;09/01/2021
333292;09/01/2021
333295;09/01/2021
333296;09/01/2021
333298;09/01/2021
333299;09/01/2021
333300;09/01/2021
333301;09/01/2021
333302;09/01/2021
333303;09/01/2021
333304;09/01/2021
333305;09/01/2021
333306;09/01/2021
333307;09/01/2021
333308;09/01/2021
333309;09/01/2021
333310;09/01/2021
333311;09/01/2021
333312;09/01/2021
333313;09/01/2021
333315;09/01/2021
333316;09/01/2021
333317;09/01/2021
333318;09/01/2021
333319;09/01/2021
333320;09/01/2021
333321;09/01/2021
333322;09/01/2021
333323;09/01/2021
333325;09/01/2021
333327;09/01/2021
333328;09/01/2021
333329;09/01/2021
333330;09/01/2021
333331;09/01/2021
333332;09/01/2021
333333;09/01/2021
333334;09/01/2021
333335;09/01/2021
333336;09/01/2021
333337;09/01/2021
333339;09/01/2021
333340;09/01/2021
333341;09/01/2021
333342;09/01/2021
333343;09/01/2021
333344;09/01/2021
333345;09/01/2021
333346;09/01/2021
333347;09/01/2021
333348;09/01/2021
333349;09/01/2021
333350;09/01/2021
333351;09/01/2021
333352;09/01/2021
333353;09/01/2021
333354;09/01/2021
333355;09/01/2021
333356;09/01/2021
333358;09/01/2021
333359;09/01/2021
333360;09/01/2021
333361;09/01/2021
333362;09/01/2021
333363;09/01/2021
333364;09/01/2021
333365;09/01/2021
333366;09/01/2021
333368;09/01/2021
333371;09/01/2021
333372;09/01/2021
333373;09/01/2021
333374;09/01/2021
333375;09/01/2021
333376;09/01/2021
333377;09/01/2021
333378;09/01/2021
333379;09/01/2021
333380;09/01/2021
333381;09/01/2021
333382;09/01/2021
333383;09/01/2021
333385;09/01/2021
333386;09/01/2021
333388;09/01/2021
333389;09/01/2021
333390;09/01/2021
333391;09/01/2021
333393;09/01/2021
333394;09/01/2021
333395;09/01/2021
333396;09/01/2021
333397;09/01/2021
333398;09/01/2021
333400;09/01/2021
333402;09/01/2021
333403;09/01/2021
333404;09/01/2021
333406;09/01/2021
333407;09/01/2021
333408;09/01/2021
333409;09/01/2021
333411;09/01/2021
333413;09/01/2021
333415;09/01/2021
333416;09/01/2021
333417;09/01/2021
333418;09/01/2021
333419;09/01/2021
333420;08/01/2021
333422;09/01/2021
333424;09/01/2021
333425;09/01/2021
333426;09/01/2021
333427;09/01/2021
