f_acidente;d_tipopista
333222;Simples
333223;Simples
333224;Simples
333225;Simples
333226;Dupla
333227;Simples
333228;Múltipla
333229;Simples
333230;Simples
333231;Simples
333232;Simples
333233;Simples
333235;Simples
333236;Simples
333237;Dupla
333238;Dupla
333239;Dupla
333240;Simples
333241;Dupla
333242;Dupla
333243;Dupla
333244;Simples
333245;Simples
333246;Dupla
333247;Dupla
333249;Dupla
333250;Simples
333251;Múltipla
333252;Dupla
333253;Dupla
333254;Dupla
333255;Múltipla
333256;Dupla
333257;Múltipla
333258;Simples
333259;Dupla
333260;Simples
333261;Dupla
333262;Dupla
333263;Simples
333264;Dupla
333265;Simples
333266;Simples
333268;Dupla
333269;Dupla
333270;Múltipla
333271;Múltipla
333272;Dupla
333275;Simples
333276;Simples
333277;Dupla
333280;Dupla
333281;Simples
333282;Dupla
333283;Simples
333284;Dupla
333285;Múltipla
333286;Simples
333287;Simples
333288;Dupla
333289;Dupla
333290;Dupla
333291;Simples
333292;Dupla
333295;Múltipla
333296;Múltipla
333298;Simples
333299;Simples
333300;Simples
333301;Múltipla
333302;Simples
333303;Simples
333304;Simples
333305;Dupla
333306;Dupla
333307;Simples
333308;Simples
333309;Dupla
333310;Dupla
333311;Dupla
333312;Dupla
333313;Simples
333315;Simples
333316;Simples
333317;Dupla
333318;Dupla
333319;Simples
333320;Simples
333321;Simples
333322;Simples
333323;Simples
333325;Simples
333327;Dupla
333328;Dupla
333329;Simples
333330;Dupla
333331;Simples
333332;Simples
333333;Dupla
333334;Dupla
333335;Simples
333336;Simples
333337;Simples
333339;Simples
333340;Dupla
333341;Simples
333342;Simples
333343;Dupla
333344;Simples
333345;Dupla
333346;Dupla
333347;Simples
333348;Dupla
333349;Simples
333350;Múltipla
333351;Dupla
333352;Simples
333353;Dupla
333354;Simples
333355;Dupla
333356;Dupla
333358;Dupla
333359;Dupla
333360;Dupla
333361;Dupla
333362;Simples
333363;Dupla
333364;Dupla
333365;Dupla
333366;Simples
333368;Múltipla
333371;Simples
333372;Simples
333373;Dupla
333374;Simples
333375;Simples
333376;Simples
333377;Simples
333378;Dupla
333379;Simples
333380;Dupla
333381;Simples
333382;Simples
333383;Múltipla
333385;Dupla
333386;Simples
333388;Simples
333389;Dupla
333390;Simples
333391;Simples
333393;Dupla
333394;Dupla
333395;Simples
333396;Dupla
333397;Dupla
333398;Dupla
333400;Dupla
333402;Dupla
333403;Simples
333404;Simples
333406;Simples
333407;Simples
333408;Dupla
333409;Dupla
333411;Simples
333413;Simples
333415;Simples
333416;Simples
333417;Simples
333418;Simples
333419;Dupla
333420;Simples
333422;Simples
333424;Simples
333425;Simples
333426;Múltipla
333427;Simples
333428;Simples
333429;Dupla
333431;Simples
333432;Múltipla
333433;Simples
333434;Dupla
333435;Simples
333437;Simples
333438;Simples
333440;Simples
333442;Simples
333443;Simples
333444;Simples
333446;Simples
333447;Simples
333448;Simples
333450;Simples
333451;Simples
333452;Simples
333453;Simples
333454;Dupla
333455;Simples
333456;Simples
333457;Dupla
333458;Dupla
333459;Dupla
333460;Simples
333461;Dupla
333462;Simples
333463;Dupla
333464;Simples
333465;Simples
333467;Dupla
333469;Dupla
333470;Dupla
333471;Simples
333472;Simples
333473;Dupla
333474;Dupla
333475;Simples
333476;Dupla
333477;Múltipla
333478;Simples
333479;Simples
333480;Dupla
333481;Simples
333483;Simples
333484;Dupla
333486;Simples
333487;Dupla
333488;Simples
333489;Dupla
333490;Simples
333491;Simples
333492;Simples
333493;Dupla
333494;Simples
333495;Dupla
333496;Simples
333497;Dupla
333498;Simples
333499;Simples
333501;Múltipla
333502;Dupla
333503;Simples
333505;Dupla
333506;Simples
333507;Múltipla
333508;Simples
333509;Simples
333510;Simples
333511;Dupla
333512;Simples
333513;Dupla
333514;Simples
333515;Dupla
333516;Simples
333517;Simples
333518;Simples
333520;Simples
333521;Dupla
333522;Dupla
333523;Dupla
333524;Dupla
333525;Simples
333526;Dupla
333527;Simples
333528;Dupla
333529;Simples
333530;Dupla
333531;Dupla
333532;Múltipla
333533;Simples
333534;Simples
333535;Dupla
333536;Dupla
333537;Simples
333538;Simples
333539;Simples
333540;Simples
333541;Dupla
333542;Simples
333543;Dupla
333544;Dupla
333545;Dupla
333546;Simples
333547;Dupla
333548;Dupla
333550;Dupla
333551;Dupla
333552;Simples
333553;Múltipla
333555;Dupla
333556;Simples
333557;Simples
333558;Simples
333559;Simples
333560;Dupla
333561;Dupla
333562;Simples
333565;Dupla
333566;Simples
333569;Simples
333572;Dupla
333573;Simples
333574;Dupla
333575;Simples
333576;Dupla
333577;Dupla
333578;Dupla
333579;Simples
333580;Simples
333581;Dupla
333582;Dupla
333583;Dupla
333584;Dupla
333585;Dupla
333586;Simples
333587;Simples
333588;Simples
333589;Dupla
333590;Dupla
333591;Dupla
333592;Simples
333593;Dupla
333594;Dupla
333595;Simples
333596;Dupla
333597;Dupla
333598;Múltipla
333599;Dupla
333602;Dupla
333603;Simples
333604;Simples
333605;Dupla
333606;Dupla
333607;Simples
333608;Simples
333609;Simples
333611;Simples
333612;Dupla
333613;Simples
333614;Simples
333615;Dupla
333616;Simples
333617;Dupla
333618;Simples
333619;Simples
333620;Simples
333621;Dupla
333622;Dupla
333623;Dupla
333624;Simples
333625;Dupla
333626;Dupla
333627;Simples
333628;Simples
333629;Dupla
333630;Dupla
333632;Simples
333633;Simples
333634;Simples
333635;Simples
333636;Múltipla
333637;Simples
333638;Dupla
333639;Simples
333640;Dupla
333641;Dupla
333642;Dupla
333643;Dupla
333644;Simples
333645;Simples
333646;Simples
333647;Dupla
333649;Simples
333650;Dupla
333651;Simples
333652;Simples
333653;Múltipla
333654;Múltipla
333655;Simples
333656;Dupla
333657;Dupla
333658;Simples
333659;Simples
333661;Dupla
333662;Dupla
333663;Dupla
333664;Dupla
333665;Dupla
333666;Simples
333667;Dupla
333668;Dupla
333670;Dupla
333671;Dupla
333672;Simples
333673;Dupla
333674;Dupla
333675;Dupla
333676;Dupla
333677;Dupla
333678;Simples
333679;Simples
333680;Simples
333681;Dupla
333682;Simples
333683;Simples
333685;Dupla
333686;Dupla
333687;Simples
333689;Simples
333690;Simples
333691;Múltipla
333692;Dupla
333693;Simples
333694;Simples
333695;Dupla
333696;Simples
333698;Dupla
333699;Múltipla
333700;Dupla
333701;Simples
333702;Simples
333703;Dupla
333704;Dupla
333705;Simples
333706;Múltipla
333707;Simples
333708;Múltipla
333709;Simples
333710;Múltipla
333711;Simples
333712;Dupla
333713;Simples
333714;Simples
333715;Dupla
333716;Simples
333717;Simples
333718;Simples
333719;Dupla
333720;Dupla
333721;Dupla
333722;Dupla
333723;Simples
333724;Simples
333725;Dupla
333726;Simples
333727;Múltipla
333729;Simples
333732;Dupla
333733;Simples
333734;Dupla
333735;Dupla
333736;Simples
333738;Dupla
333739;Dupla
333740;Dupla
333742;Dupla
333743;Dupla
333744;Múltipla
333746;Dupla
333747;Dupla
333748;Dupla
333749;Simples
333750;Simples
333751;Dupla
333753;Simples
333754;Dupla
333755;Dupla
333756;Simples
333757;Dupla
333760;Simples
333761;Múltipla
333762;Dupla
333764;Simples
333765;Dupla
333766;Simples
333767;Simples
333770;Dupla
333771;Dupla
333772;Dupla
333773;Dupla
333774;Simples
333775;Simples
333776;Múltipla
333777;Dupla
333778;Dupla
333779;Simples
333781;Múltipla
333783;Simples
333784;Dupla
333785;Simples
333786;Múltipla
333788;Múltipla
333789;Dupla
333790;Simples
333793;Simples
333795;Dupla
333797;Simples
333798;Simples
333799;Dupla
333802;Simples
333803;Simples
333804;Simples
333805;Dupla
333806;Dupla
333808;Simples
333809;Simples
333810;Simples
333811;Simples
333812;Simples
333814;Dupla
333816;Dupla
333818;Simples
333819;Simples
333820;Simples
333822;Simples
333823;Simples
333825;Simples
333826;Simples
333827;Simples
333828;Dupla
333829;Simples
333830;Dupla
333831;Dupla
333832;Simples
333833;Simples
333834;Dupla
333835;Dupla
333836;Simples
333837;Simples
333838;Múltipla
333841;Dupla
333842;Simples
333844;Dupla
333845;Múltipla
333846;Dupla
333847;Simples
333850;Simples
333852;Simples
333853;Simples
333854;Simples
333855;Dupla
333857;Dupla
333858;Múltipla
333859;Simples
333861;Simples
333863;Simples
333865;Múltipla
333866;Simples
333867;Simples
333869;Múltipla
333870;Simples
333871;Simples
333872;Simples
333873;Dupla
333874;Simples
333875;Simples
333876;Dupla
333878;Simples
333879;Dupla
333881;Dupla
333883;Simples
333884;Dupla
333885;Dupla
333886;Simples
333887;Dupla
333888;Dupla
333889;Simples
333890;Dupla
333891;Simples
333893;Dupla
333895;Dupla
333896;Simples
333897;Dupla
333898;Dupla
333900;Múltipla
333901;Dupla
333902;Simples
333903;Simples
333904;Simples
333905;Simples
333906;Simples
333907;Simples
333908;Simples
333910;Simples
333911;Simples
333912;Múltipla
333913;Dupla
333914;Múltipla
333915;Dupla
333916;Simples
333917;Simples
333918;Simples
333919;Múltipla
333921;Dupla
333922;Dupla
333923;Simples
333924;Dupla
333925;Dupla
333927;Simples
333928;Múltipla
333929;Simples
333930;Dupla
333932;Dupla
333933;Dupla
333934;Dupla
333935;Dupla
333936;Simples
333937;Dupla
333938;Simples
333939;Dupla
333940;Dupla
333941;Dupla
333942;Dupla
333943;Dupla
333944;Dupla
333945;Dupla
333946;Simples
333947;Simples
333948;Dupla
