f_acidente;d_diasemana
332941;quinta-feira
332942;quinta-feira
332943;quinta-feira
332946;quinta-feira
332949;quinta-feira
332953;quinta-feira
332954;quinta-feira
332955;quinta-feira
332956;quinta-feira
332957;quinta-feira
332958;quinta-feira
332959;terça-feira
332960;quinta-feira
332963;quinta-feira
332964;quinta-feira
332965;quinta-feira
332966;quinta-feira
332967;quinta-feira
332968;quinta-feira
332969;quinta-feira
332971;quinta-feira
332972;quinta-feira
332974;quinta-feira
332976;quinta-feira
332977;quinta-feira
332978;quinta-feira
332980;quinta-feira
332981;quinta-feira
332984;quinta-feira
332985;quinta-feira
332986;quinta-feira
332987;quinta-feira
332988;quinta-feira
332989;quinta-feira
332990;quinta-feira
332991;quinta-feira
332992;quinta-feira
332993;quinta-feira
332994;quinta-feira
332995;quinta-feira
332996;quinta-feira
332997;quinta-feira
332998;quinta-feira
332999;quinta-feira
333000;quinta-feira
333001;quinta-feira
333002;quinta-feira
333003;quinta-feira
333004;quinta-feira
333006;quinta-feira
333007;quinta-feira
333008;quinta-feira
333009;quinta-feira
333010;quinta-feira
333011;quinta-feira
333012;quinta-feira
333013;quinta-feira
333014;quinta-feira
333015;quinta-feira
333016;quinta-feira
333017;quinta-feira
333018;quinta-feira
333019;quinta-feira
333020;quinta-feira
333021;quinta-feira
333022;quinta-feira
333023;quinta-feira
333024;quinta-feira
333025;quinta-feira
333026;quinta-feira
333027;quinta-feira
333028;quinta-feira
333029;quinta-feira
333031;quinta-feira
333032;quinta-feira
333033;sexta-feira
333034;quinta-feira
333035;sexta-feira
333037;quinta-feira
333038;sexta-feira
333039;quinta-feira
333041;sexta-feira
333042;sexta-feira
333043;sexta-feira
333044;sexta-feira
333045;quinta-feira
333046;sexta-feira
333048;sexta-feira
333049;sexta-feira
333053;quinta-feira
333054;sexta-feira
333055;sexta-feira
333056;sexta-feira
333057;sexta-feira
333058;sexta-feira
333059;sexta-feira
333060;sexta-feira
333062;sexta-feira
333063;sexta-feira
333064;sexta-feira
333065;sexta-feira
333066;sexta-feira
333067;sexta-feira
333069;sexta-feira
333073;sexta-feira
333074;sexta-feira
333076;sexta-feira
333077;sexta-feira
333079;sexta-feira
333080;sexta-feira
333081;sexta-feira
333082;sexta-feira
333083;sexta-feira
333085;sexta-feira
333086;sexta-feira
333088;sexta-feira
333089;sexta-feira
333090;sexta-feira
333091;sexta-feira
333094;sexta-feira
333095;sexta-feira
333096;sexta-feira
333097;sexta-feira
333099;sexta-feira
333100;sexta-feira
333101;sexta-feira
333102;sexta-feira
333104;sexta-feira
333106;sexta-feira
333107;sexta-feira
333108;sexta-feira
333109;sexta-feira
333110;sexta-feira
333111;sexta-feira
333112;sexta-feira
333113;sexta-feira
333114;sexta-feira
333115;sexta-feira
333116;sexta-feira
333118;sexta-feira
333120;sexta-feira
333121;sexta-feira
333122;sexta-feira
333123;sexta-feira
333124;quinta-feira
333126;sexta-feira
333129;sexta-feira
333130;sexta-feira
333131;sexta-feira
333132;sexta-feira
333133;sexta-feira
333134;sexta-feira
333136;sexta-feira
333138;sexta-feira
333139;sexta-feira
333140;sexta-feira
333144;sexta-feira
333145;sexta-feira
333146;sexta-feira
333147;sexta-feira
333148;sexta-feira
333150;sexta-feira
333151;sexta-feira
333152;sexta-feira
333153;sexta-feira
333154;quinta-feira
333155;sexta-feira
333156;sexta-feira
333157;sexta-feira
333158;sexta-feira
333159;sexta-feira
333160;sexta-feira
333161;sexta-feira
333162;sexta-feira
333163;sexta-feira
333165;sexta-feira
333166;sexta-feira
333167;sexta-feira
333168;sexta-feira
333169;sexta-feira
333170;segunda-feira
333171;sexta-feira
333172;sexta-feira
333173;domingo
333174;sexta-feira
333175;sexta-feira
333176;sexta-feira
333177;sexta-feira
333178;sexta-feira
333179;sexta-feira
333180;sexta-feira
333181;sexta-feira
333182;sexta-feira
333183;sexta-feira
333184;sexta-feira
333185;sexta-feira
333186;sexta-feira
333189;sexta-feira
333190;sexta-feira
333191;sexta-feira
333193;sexta-feira
333194;sexta-feira
333197;sexta-feira
333198;sexta-feira
333199;sexta-feira
333200;sexta-feira
333201;sexta-feira
333203;sexta-feira
333204;sexta-feira
333205;sexta-feira
333206;sexta-feira
333207;sexta-feira
333208;sexta-feira
333209;sexta-feira
333210;sexta-feira
333211;sexta-feira
333213;sexta-feira
333214;sexta-feira
333215;sexta-feira
333217;sexta-feira
333218;sexta-feira
333220;sexta-feira
333221;sábado
333222;sexta-feira
333223;sexta-feira
333224;sexta-feira
333225;sábado
333226;sexta-feira
333227;sexta-feira
333228;sexta-feira
333229;sexta-feira
333230;sexta-feira
333231;sábado
333232;sábado
333233;sábado
333235;sábado
333236;sábado
333237;sábado
333238;sábado
333239;sábado
333240;sexta-feira
333241;sábado
333242;sábado
333243;sábado
333244;sexta-feira
333245;sábado
333246;sábado
333247;sábado
333249;sábado
333250;sábado
333251;sábado
333252;sábado
333253;sábado
333254;sábado
333255;sábado
333256;sábado
333257;sábado
333258;sábado
333259;sábado
333260;sábado
333261;sexta-feira
333262;sábado
333263;sábado
333264;sábado
333265;sábado
333266;sábado
333268;sábado
333269;sábado
333270;sábado
333271;sábado
333272;sábado
333275;terça-feira
333276;sábado
333277;sábado
333280;sábado
333281;sábado
333282;sábado
333283;sábado
333284;sábado
333285;sábado
333286;sábado
333287;sábado
333288;sábado
333289;sábado
333290;sábado
333291;sábado
333292;sábado
333295;sábado
333296;sábado
333298;sábado
333299;sábado
333300;sábado
333301;sábado
333302;sábado
333303;sábado
333304;sábado
333305;sábado
333306;sábado
333307;sábado
333308;sábado
333309;sábado
333310;sábado
333311;sábado
333312;sábado
333313;sábado
333315;sábado
333316;sábado
333317;sábado
333318;sábado
333319;sábado
333320;sábado
333321;sábado
333322;sábado
333323;sábado
333325;sábado
333327;sábado
333328;sábado
333329;sábado
333330;sábado
333331;sábado
333332;sábado
333333;sábado
333334;sábado
333335;sábado
333336;sábado
333337;sábado
333339;sábado
333340;sábado
333341;sábado
333342;sábado
333343;sábado
333344;sábado
333345;sábado
333346;sábado
333347;sábado
333348;sábado
333349;sábado
333350;sábado
333351;sábado
333352;sábado
333353;sábado
333354;sábado
333355;sábado
333356;sábado
333358;sábado
333359;sábado
333360;sábado
333361;sábado
333362;sábado
333363;sábado
333364;sábado
333365;sábado
333366;sábado
333368;sábado
333371;sábado
333372;sábado
333373;sábado
333374;sábado
333375;sábado
333376;sábado
333377;sábado
333378;sábado
333379;sábado
333380;sábado
333381;sábado
333382;sábado
333383;sábado
333385;sábado
333386;sábado
333388;sábado
333389;sábado
333390;sábado
333391;sábado
333393;sábado
333394;sábado
333395;sábado
333396;sábado
333397;sábado
333398;sábado
333400;sábado
333402;sábado
333403;sábado
333404;sábado
333406;sábado
333407;sábado
333408;sábado
333409;sábado
333411;sábado
333413;sábado
333415;sábado
333416;sábado
333417;sábado
333418;sábado
333419;sábado
333420;sexta-feira
333422;sábado
333424;sábado
333425;sábado
333426;sábado
333427;sábado
333428;sábado
333429;sábado
333431;sábado
333432;sábado
333433;sábado
333434;sábado
333435;sábado
333437;sábado
333438;sábado
333440;sábado
333442;sábado
333443;sábado
333444;sábado
333446;sábado
333447;sábado
333448;sábado
333450;domingo
333451;sábado
333452;sábado
333453;sábado
333454;sábado
333455;sábado
333456;sábado
333457;sábado
333458;domingo
333459;sábado
333460;sábado
333461;domingo
333462;domingo
333463;domingo
333464;domingo
333465;domingo
333467;domingo
333469;domingo
333470;domingo
333471;sábado
333472;domingo
333473;domingo
333474;sábado
333475;domingo
333476;domingo
333477;domingo
333478;domingo
333479;domingo
333480;domingo
333481;domingo
333483;domingo
333484;domingo
333486;domingo
333487;domingo
333488;domingo
333489;domingo
333490;sábado
333491;domingo
333492;domingo
333493;domingo
333494;domingo
333495;domingo
333496;domingo
333497;domingo
333498;sábado
333499;domingo
333501;domingo
333502;domingo
333503;domingo
333505;domingo
333506;domingo
333507;domingo
333508;domingo
333509;domingo
333510;domingo
333511;domingo
333512;quarta-feira
333513;domingo
333514;domingo
333515;domingo
333516;domingo
333517;domingo
333518;sábado
333520;domingo
333521;domingo
333522;domingo
333523;domingo
333524;domingo
333525;domingo
333526;domingo
333527;domingo
333528;domingo
333529;domingo
333530;domingo
333531;domingo
333532;domingo
333533;domingo
333534;domingo
333535;domingo
333536;domingo
333537;domingo
333538;domingo
333539;domingo
333540;domingo
333541;domingo
333542;domingo
333543;domingo
333544;domingo
333545;domingo
333546;domingo
333547;domingo
333548;domingo
333550;domingo
333551;domingo
333552;domingo
333553;domingo
333555;domingo
333556;domingo
333557;domingo
333558;domingo
333559;domingo
333560;domingo
333561;domingo
333562;domingo
333565;domingo
333566;domingo
333569;domingo
333572;domingo
333573;domingo
333574;domingo
333575;domingo
333576;domingo
333577;domingo
333578;domingo
333579;domingo
333580;domingo
333581;domingo
333582;domingo
333583;domingo
333584;domingo
333585;domingo
333586;domingo
333587;sábado
333588;domingo
333589;domingo
333590;domingo
333591;domingo
333592;domingo
333593;domingo
333594;domingo
333595;domingo
333596;domingo
333597;domingo
333598;domingo
333599;domingo
333602;domingo
333603;domingo
333604;domingo
333605;domingo
333606;domingo
333607;domingo
333608;domingo
333609;domingo
333611;domingo
333612;domingo
333613;domingo
333614;domingo
333615;domingo
333616;domingo
333617;domingo
333618;domingo
333619;domingo
333620;domingo
333621;domingo
333622;domingo
333623;domingo
333624;segunda-feira
333625;domingo
333626;domingo
333627;domingo
333628;domingo
333629;domingo
333630;domingo
333632;domingo
333633;domingo
333634;domingo
333635;domingo
333636;domingo
333637;domingo
333638;domingo
333639;domingo
333640;domingo
333641;domingo
333642;domingo
333643;domingo
333644;domingo
333645;domingo
333646;domingo
333647;domingo
333649;domingo
333650;domingo
333651;domingo
333652;domingo
333653;domingo
333654;domingo
333655;domingo
333656;domingo
333657;domingo
333658;domingo
333659;domingo
333661;domingo
333662;domingo
333663;domingo
333664;domingo
333665;domingo
333666;domingo
333667;domingo
333668;domingo
333670;domingo
333671;domingo
333672;domingo
333673;domingo
333674;domingo
333675;domingo
333676;domingo
333677;domingo
333678;domingo
333679;domingo
333680;domingo
333681;domingo
333682;domingo
333683;domingo
333685;domingo
333686;domingo
333687;domingo
333689;domingo
333690;domingo
333691;domingo
333692;domingo
333693;domingo
333694;domingo
333695;domingo
333696;domingo
333698;domingo
333699;domingo
333700;domingo
333701;domingo
333702;segunda-feira
333703;segunda-feira
