f_acidente;d_horario
332683;00:10:00
332684;00:10:00
332685;01:30:00
332686;01:30:00
332687;03:00:00
332688;02:20:00
332689;02:30:00
332690;04:40:00
332691;03:30:00
332692;05:20:00
332693;16:40:00
332694;06:15:00
332695;06:40:00
332696;06:25:00
332697;02:30:00
332699;07:00:00
332700;06:00:00
332701;06:50:00
332703;07:15:00
332704;07:20:00
332705;05:40:00
332706;01:10:00
332707;07:45:00
332708;08:00:00
332710;07:10:00
332711;08:00:00
332716;08:45:00
332717;08:00:00
332718;09:15:00
332719;09:35:00
332720;07:50:00
332721;08:40:00
332722;08:15:00
332723;09:50:00
332724;09:45:00
332725;10:10:00
332726;09:35:00
332727;08:00:00
332728;07:00:00
332729;09:50:00
332730;08:30:00
332732;10:10:00
332734;09:45:00
332735;10:50:00
332737;10:15:00
332738;08:40:00
332739;11:16:00
332740;07:30:00
332741;09:10:00
332742;11:10:00
332744;10:40:00
332746;12:17:00
332747;11:30:00
332748;12:05:00
332749;11:35:00
332750;12:05:00
332751;12:29:00
332752;11:45:00
332754;13:00:00
332755;12:15:00
332756;12:15:00
332758;13:15:00
332759;07:15:00
332760;13:30:00
332762;13:30:00
332763;12:20:00
332765;14:10:00
332766;14:00:00
332768;13:50:00
332769;14:15:00
332770;06:30:00
332771;14:00:00
332772;11:25:00
332773;13:30:00
332774;14:10:00
332775;14:10:00
332776;15:20:00
332777;13:23:00
332778;15:30:00
332779;15:20:00
332780;15:20:00
332782;11:40:00
332783;15:30:00
332785;16:15:00
332786;15:30:00
332787;16:40:00
332788;15:50:00
332789;15:25:00
332790;10:00:00
332791;15:45:00
332792;16:30:00
332793;15:30:00
332796;16:45:00
332797;13:40:00
332798;17:00:00
332800;16:55:00
332801;13:05:00
332802;17:40:00
332803;17:00:00
332804;16:40:00
332805;17:35:00
332806;16:50:00
332807;17:20:00
332808;12:00:00
332810;18:05:00
332811;09:00:00
332812;18:15:00
332813;15:45:00
332815;16:50:00
332816;16:00:00
332818;19:00:00
332819;19:05:00
332820;19:20:00
332821;19:35:00
332823;19:00:00
332824;19:55:00
332825;19:00:00
332826;20:18:00
332827;18:15:00
332828;20:00:00
332829;16:30:00
332830;01:30:00
332831;20:40:00
332832;19:50:00
332833;11:30:00
332834;12:10:00
332836;20:50:00
332838;21:00:00
332839;21:05:00
332840;19:10:00
332841;19:30:00
332842;13:09:00
332843;21:10:00
332844;20:30:00
332846;21:20:00
332847;21:15:00
332848;19:30:00
332849;20:50:00
332851;15:20:00
332852;23:05:00
332853;00:00:00
332854;01:00:00
332855;21:40:00
332856;23:30:00
332857;02:55:00
332858;01:00:00
332859;04:30:00
332860;03:35:00
332861;05:20:00
332862;05:00:00
332863;15:17:00
332864;06:20:00
332866;07:10:00
332867;06:20:00
332868;06:50:00
332869;05:20:00
332870;21:00:00
332871;17:15:00
332872;07:35:00
332873;07:00:00
332874;07:15:00
332875;08:15:00
332876;12:17:00
332877;07:30:00
332878;08:30:00
332879;08:00:00
332880;07:50:00
332881;09:05:00
332883;08:00:00
332885;09:40:00
332887;06:50:00
332888;09:00:00
332889;09:50:00
332890;07:30:00
332891;08:45:00
332892;10:10:00
332893;09:00:00
332894;09:00:00
332895;10:00:00
332896;09:40:00
332900;11:00:00
332902;11:15:00
332905;11:00:00
332906;11:30:00
332908;07:15:00
332909;10:50:00
332911;12:00:00
332914;11:15:00
332916;11:20:00
332917;11:20:00
332918;12:20:00
332919;11:35:00
332920;12:45:00
332921;12:40:00
332922;13:00:00
332923;12:30:00
332924;09:30:00
332925;13:00:00
332927;13:05:00
332928;00:20:00
332929;12:30:00
332930;12:45:00
332931;13:20:00
332932;13:15:00
332933;11:45:00
332934;14:00:00
332936;13:30:00
332937;14:25:00
332938;15:10:00
332939;15:35:00
332940;14:50:00
332941;15:10:00
332942;15:30:00
332943;15:45:00
332946;15:50:00
332949;14:00:00
332953;14:50:00
332954;16:00:00
332955;16:10:00
332956;16:15:00
332957;16:00:00
332958;16:50:00
332959;11:45:00
332960;16:50:00
332963;17:25:00
332964;17:00:00
332965;17:25:00
332966;16:00:00
332967;14:20:00
332968;17:15:00
332969;12:20:00
332971;17:30:00
332972;17:40:00
332974;17:45:00
332976;18:00:00
332977;17:45:00
332978;13:15:00
332980;18:20:00
332981;17:00:00
332984;15:30:00
332985;17:55:00
332986;15:40:00
332987;18:15:00
332988;16:05:00
332989;19:25:00
332990;17:40:00
332991;19:40:00
332992;19:10:00
332993;16:35:00
332994;19:20:00
332995;16:30:00
332996;20:00:00
332997;19:50:00
332998;17:10:00
332999;20:00:00
333000;17:55:00
333001;20:00:00
333002;20:40:00
333003;20:15:00
333004;20:00:00
333006;17:20:00
333007;18:50:00
333008;21:10:00
333009;18:00:00
333010;21:35:00
333011;21:20:00
333012;19:20:00
333013;21:40:00
333014;21:00:00
333015;22:00:00
333016;21:50:00
333017;21:38:00
333018;17:33:00
333019;22:15:00
333020;22:25:00
333021;19:30:00
333022;21:45:00
333023;23:10:00
333024;22:35:00
333025;20:30:00
333026;19:15:00
333027;23:15:00
333028;22:00:00
333029;22:15:00
333031;19:30:00
333032;19:20:00
333033;00:20:00
333034;23:10:00
333035;00:45:00
333037;23:30:00
333038;01:30:00
333039;23:45:00
333041;03:00:00
333042;03:55:00
333043;04:00:00
333044;02:50:00
333045;16:55:00
333046;05:30:00
333048;05:10:00
333049;06:30:00
333053;16:20:00
333054;07:20:00
333055;05:00:00
333056;06:30:00
333057;08:00:00
333058;08:10:00
333059;07:00:00
333060;07:10:00
333062;04:30:00
333063;08:20:00
333064;05:15:00
333065;07:45:00
333066;08:20:00
333067;09:00:00
333069;09:00:00
333073;07:25:00
333074;07:20:00
333076;10:12:00
333077;10:12:00
333079;10:00:00
333080;09:50:00
333081;10:30:00
333082;10:03:00
333083;10:40:00
333085;09:35:00
333086;09:30:00
333088;09:10:00
333089;10:20:00
333090;11:50:00
333091;11:45:00
333094;12:25:00
333095;11:10:00
333096;11:40:00
333097;09:00:00
333099;12:20:00
333100;12:30:00
333101;10:37:00
333102;12:50:00
333104;13:10:00
333106;13:50:00
333107;12:20:00
333108;14:05:00
333109;13:40:00
333110;12:00:00
333111;14:10:00
333112;13:56:00
333113;08:15:00
333114;14:40:00
333115;12:27:00
333116;14:55:00
333118;15:20:00
333120;15:05:00
333121;14:45:00
333122;15:15:00
333123;13:30:00
333124;15:00:00
333126;11:10:00
333129;14:40:00
333130;16:05:00
333131;14:00:00
333132;15:20:00
333133;16:20:00
333134;14:30:00
333136;15:30:00
333138;16:45:00
333139;15:15:00
333140;16:10:00
333144;16:15:00
333145;16:00:00
333146;17:10:00
333147;17:20:00
333148;16:00:00
333150;16:45:00
333151;16:50:00
333152;16:50:00
333153;15:50:00
333154;22:15:00
333155;17:37:00
333156;12:00:00
333157;16:20:00
333158;16:15:00
333159;14:50:00
333160;17:00:00
333161;17:40:00
333162;15:25:00
333163;18:17:00
333165;14:30:00
333166;08:00:00
333167;17:30:00
333168;17:25:00
333169;17:30:00
333170;13:00:00
333171;18:00:00
333172;18:00:00
333173;14:10:00
333174;17:20:00
333175;17:30:00
333176;19:00:00
333177;17:30:00
333178;17:50:00
333179;17:38:00
333180;19:00:00
333181;18:27:00
333182;17:20:00
333183;18:45:00
333184;16:35:00
333185;19:40:00
333186;20:00:00
333189;19:15:00
333190;15:45:00
333191;19:50:00
333193;19:45:00
333194;20:30:00
333197;18:05:00
333198;18:30:00
333199;20:30:00
333200;20:40:00
333201;19:50:00
333203;20:30:00
333204;21:40:00
333205;20:40:00
333206;21:30:00
333207;20:20:00
333208;20:20:00
333209;15:50:00
333210;18:45:00
333211;18:00:00
333213;15:00:00
333214;19:10:00
333215;21:55:00
333217;14:20:00
333218;23:15:00
333220;23:00:00
333221;00:20:00
333222;21:55:00
333223;19:30:00
333224;23:50:00
333225;00:00:00
333226;23:44:00
333227;23:20:00
333228;18:30:00
333229;21:50:00
333230;21:30:00
333231;01:00:00
333232;01:05:00
333233;02:00:00
333235;00:01:00
333236;01:45:00
333237;02:10:00
333238;03:00:00
333239;03:00:00
333240;22:40:00
333241;02:20:00
333242;03:05:00
333243;03:30:00
333244;15:10:00
333245;04:10:00
333246;03:00:00
333247;04:10:00
333249;04:40:00
333250;04:15:00
333251;04:30:00
333252;04:55:00
333253;01:40:00
333254;05:10:00
333255;05:15:00
333256;04:00:00
333257;04:30:00
333258;04:20:00
333259;04:30:00
333260;01:45:00
333261;22:49:00
333262;04:50:00
333263;05:45:00
333264;06:00:00
333265;06:10:00
333266;06:25:00
333268;05:30:00
333269;05:00:00
333270;06:10:00
333271;07:20:00
333272;06:20:00
333275;19:30:00
333276;07:55:00
333277;06:40:00
333280;06:30:00
333281;07:00:00
333282;08:35:00
333283;06:35:00
333284;09:10:00
333285;08:55:00
333286;08:20:00
333287;09:40:00
333288;10:00:00
333289;09:20:00
333290;08:55:00
333291;09:00:00
333292;10:56:00
333295;09:50:00
333296;10:15:00
333298;11:22:00
333299;11:00:00
333300;09:45:00
333301;11:00:00
333302;10:15:00
333303;10:20:00
333304;11:30:00
333305;10:50:00
333306;09:20:00
333307;10:45:00
333308;12:00:00
333309;11:40:00
333310;12:30:00
333311;12:15:00
333312;11:50:00
333313;12:00:00
333315;12:30:00
333316;11:10:00
333317;13:00:00
333318;13:00:00
333319;10:10:00
333320;04:00:00
333321;13:00:00
333322;13:00:00
333323;11:40:00
333325;12:50:00
333327;13:20:00
333328;08:35:00
333329;12:55:00
333330;14:35:00
333331;14:30:00
333332;14:00:00
333333;12:30:00
333334;14:00:00
333335;14:00:00
333336;14:40:00
333337;14:30:00
333339;14:10:00
333340;15:05:00
333341;14:00:00
333342;15:00:00
333343;15:45:00
333344;15:05:00
333345;16:20:00
333346;16:10:00
333347;15:45:00
333348;15:45:00
333349;13:30:00
333350;13:45:00
333351;13:00:00
333352;16:30:00
333353;16:00:00
333354;11:50:00
333355;15:30:00
333356;16:50:00
333358;17:00:00
333359;16:20:00
333360;16:20:00
333361;17:40:00
333362;17:00:00
333363;17:30:00
333364;16:10:00
333365;17:30:00
333366;17:10:00
333368;14:10:00
333371;17:30:00
333372;15:30:00
333373;15:00:00
333374;15:45:00
333375;13:00:00
333376;16:15:00
333377;16:50:00
333378;18:00:00
333379;16:25:00
333380;17:25:00
333381;17:50:00
333382;17:45:00
333383;18:45:00
333385;16:50:00
333386;18:50:00
333388;18:15:00
333389;19:44:00
333390;18:30:00
333391;19:50:00
333393;19:45:00
333394;19:00:00
333395;19:30:00
333396;19:00:00
333397;19:35:00
333398;19:55:00
333400;20:15:00
333402;19:25:00
333403;16:35:00
333404;20:30:00
333406;19:16:00
333407;20:13:00
333408;21:05:00
333409;20:50:00
333411;19:30:00
333413;21:00:00
333415;14:00:00
333416;21:00:00
333417;20:40:00
333418;21:40:00
333419;20:00:00
333420;20:30:00
333422;21:10:00
333424;16:15:00
333425;20:30:00
333426;21:43:00
333427;21:50:00
333428;20:20:00
333429;21:45:00
333431;21:15:00
333432;18:35:00
333433;19:50:00
333434;22:00:00
333435;21:15:00
333437;21:35:00
333438;21:40:00
333440;20:30:00
333442;23:10:00
333443;23:30:00
333444;14:30:00
333446;23:00:00
333447;23:40:00
333448;18:00:00
333450;00:30:00
333451;23:15:00
333452;20:20:00
333453;23:30:00
333454;23:40:00
333455;23:40:00
333456;22:30:00
333457;22:00:00
333458;00:05:00
333459;23:08:00
333460;23:10:00
333461;00:30:00
333462;00:00:00
333463;00:45:00
333464;01:30:00
333465;01:40:00
333467;01:25:00
333469;02:00:00
333470;02:50:00
333471;18:30:00
333472;01:30:00
333473;02:00:00
333474;20:15:00
333475;03:30:00
333476;04:15:00
333477;04:10:00
333478;03:50:00
333479;03:30:00
333480;04:00:00
333481;05:00:00
333483;04:35:00
333484;05:30:00
333486;04:00:00
333487;05:30:00
333488;05:20:00
333489;05:30:00
333490;10:50:00
333491;06:00:00
333492;06:30:00
333493;01:00:00
333494;05:00:00
333495;05:10:00
333496;05:30:00
333497;05:30:00
333498;22:00:00
333499;05:15:00
333501;03:45:00
333502;07:00:00
333503;02:41:00
333505;06:50:00
333506;07:00:00
333507;03:25:00
333508;06:00:00
333509;08:00:00
333510;05:15:00
333511;07:00:00
333512;22:30:00
333513;08:14:00
333514;06:20:00
333515;05:20:00
333516;05:30:00
333517;09:00:00
333518;23:00:00
333520;07:40:00
333521;09:20:00
333522;06:30:00
333523;09:20:00
333524;10:00:00
333525;10:15:00
333526;10:25:00
333527;10:00:00
333528;10:27:00
333529;09:00:00
333530;10:20:00
333531;10:40:00
333532;10:30:00
333533;11:25:00
333534;10:00:00
333535;08:15:00
333536;10:30:00
333537;10:20:00
333538;07:00:00
333539;10:45:00
333540;10:50:00
333541;12:00:00
333542;12:00:00
333543;12:00:00
333544;12:05:00
333545;12:00:00
333546;10:00:00
333547;11:00:00
333548;11:39:00
333550;13:10:00
333551;13:10:00
333552;12:15:00
333553;10:30:00
333555;13:50:00
333556;13:10:00
333557;12:00:00
333558;14:00:00
333559;12:50:00
333560;11:30:00
333561;14:50:00
333562;14:05:00
333565;14:45:00
333566;14:25:00
333569;14:10:00
333572;14:50:00
333573;08:40:00
333574;15:15:00
333575;16:15:00
333576;16:20:00
333577;16:26:00
333578;15:55:00
333579;16:45:00
333580;03:30:00
333581;15:30:00
333582;12:00:00
333583;16:30:00
333584;08:45:00
333585;16:35:00
333586;17:10:00
333587;21:00:00
333588;17:30:00
333589;16:45:00
333590;17:35:00
333591;17:25:00
333592;17:35:00
333593;16:40:00
333594;17:50:00
333595;15:00:00
333596;17:45:00
333597;17:00:00
333598;17:30:00
333599;15:45:00
333602;18:20:00
333603;17:35:00
333604;17:00:00
333605;18:15:00
333606;17:40:00
