f_acidente;d_fasedia
332858;Plena Noite
332859;Amanhecer
332860;Plena Noite
332861;Amanhecer
332862;Plena Noite
332863;Pleno dia
332864;Pleno dia
332866;Pleno dia
332867;Amanhecer
332868;Amanhecer
332869;Amanhecer
332870;Plena Noite
332871;Pleno dia
332872;Pleno dia
332873;Amanhecer
332874;Pleno dia
332875;Pleno dia
332876;Pleno dia
332877;Pleno dia
332878;Pleno dia
332879;Pleno dia
332880;Pleno dia
332881;Pleno dia
332883;Pleno dia
332885;Pleno dia
332887;Pleno dia
332888;Pleno dia
332889;Pleno dia
332890;Pleno dia
332891;Pleno dia
332892;Pleno dia
332893;Pleno dia
332894;Pleno dia
332895;Pleno dia
332896;Pleno dia
332900;Pleno dia
332902;Pleno dia
332905;Pleno dia
332906;Pleno dia
332908;Pleno dia
332909;Pleno dia
332911;Pleno dia
332914;Pleno dia
332916;Pleno dia
332917;Pleno dia
332918;Pleno dia
332919;Pleno dia
332920;Pleno dia
332921;Pleno dia
332922;Pleno dia
332923;Pleno dia
332924;Pleno dia
332925;Pleno dia
332927;Pleno dia
332928;Plena Noite
332929;Pleno dia
332930;Pleno dia
332931;Pleno dia
332932;Pleno dia
332933;Pleno dia
332934;Pleno dia
332936;Pleno dia
332937;Pleno dia
332938;Pleno dia
332939;Pleno dia
332940;Pleno dia
332941;Pleno dia
332942;Pleno dia
332943;Pleno dia
332946;Pleno dia
332949;Pleno dia
332953;Pleno dia
332954;Pleno dia
332955;Pleno dia
332956;Pleno dia
332957;Pleno dia
332958;Pleno dia
332959;Pleno dia
332960;Pleno dia
332963;Pleno dia
332964;Pleno dia
332965;Pleno dia
332966;Pleno dia
332967;Pleno dia
332968;Pleno dia
332969;Pleno dia
332971;Anoitecer
332972;Pleno dia
332974;Pleno dia
332976;Anoitecer
332977;Anoitecer
332978;Pleno dia
332980;Pleno dia
332981;Anoitecer
332984;Pleno dia
332985;Pleno dia
332986;Pleno dia
332987;Plena Noite
332988;Pleno dia
332989;Plena Noite
332990;Anoitecer
332991;Plena Noite
332992;Plena Noite
332993;Pleno dia
332994;Plena Noite
